********************************************
コンピュータ名	：WANIWANI
11：50：51　[G]
11：50：52　[3]
11：50：52　[R]
11：50：53　[0]
11：50：54　[U]
11：50：54　[S]
11：50：55　[Shift]
11：50：55　[]]
11：50：56　[Space]
11：50：57　[Shift]
11：50：57　[.]
11：50：57　[Space]
11：50：58　[F]
11：50：58　[L]
11：50：58　[A]
11：50：58　[G]
11：50：59　[.]
11：50：59　[T]
11：51：00　[X]
11：51：00　[T]
11：51：03　[Enter]
11：51：05　[S]
11：51：05　[T]
11：51：05　[E]
11：51：06　[G]
11：51：06　[H]
11：51：06　[I]
11：51：06　[D]
11：51：06　[E]
11：51：07　[Space]
11：51：07　[E]
11：51：07　[M]
11：51：08　[B]
11：51：08　[E]
11：51：08　[D]
11：51：08　[Space]
11：51：09　[-]
11：51：09　[C]
11：51：09　[F]
11：51：09　[Space]
11：51：10　[O]
11：51：10　[R]
11：51：10　[I]
11：51：11　[G]
11：51：11　[I]
11：51：11　[N]
11：51：11　[A]
11：51：12　[L]
11：51：13　[.]
11：51：14　[J]
11：51：14　[P]
11：51：14　[G]
11：51：15　[Space]
11：51：15　[-]
11：51：16　[E]
11：51：16　[F]
11：51：17　[Space]
11：51：17　[F]
11：51：18　[L]
11：51：18　[A]
11：51：18　[G]
11：51：19　[.]
11：51：19　[T]
11：51：20　[X]
11：51：20　[T]
11：51：21　[Space]
11：51：21　[-]
11：51：22　[S]
11：51：22　[F]
11：51：22　[Space]
11：51：23　[S]
11：51：23　[E]
11：51：24　[C]
11：51：24　[R]
11：51：25　[E]
11：51：25　[T]
11：51：25　[.]
11：51：27　[J]
11：51：27　[P]
11：51：27　[G]
11：51：30　[Enter]
11：51：31　[M]
11：51：31　[A]
11：51：31　[C]
11：51：31　[H]
11：51：32　[I]
11：51：32　[K]
11：51：32　[A]
11：51：32　[N]
11：51：32　[E]
11：51：32　[T]
11：51：32　[A]
11：51：33　[M]
11：51：33　[A]
11：51：33　[C]
11：51：33　[H]
11：51：33　[I]
11：51：33　[K]
11：51：33　[A]
11：51：33　[N]
11：51：33　[E]
11：51：34　[S]
11：51：34　[A]
11：51：34　[I]
11：51：35　[Enter]
11：51：35　[M]
11：51：35　[A]
11：51：36　[C]
11：51：36　[H]
11：51：36　[I]
11：51：36　[K]
11：51：36　[A]
11：51：36　[N]
11：51：36　[E]
11：51：36　[T]
11：51：37　[A]
11：51：37　[M]
11：51：37　[A]
11：51：37　[C]
11：51：37　[H]
11：51：37　[I]
11：51：37　[K]
11：51：37　[A]
11：51：38　[N]
11：51：38　[E]
11：51：38　[S]
11：51：38　[A]
11：51：39　[I]
11：51：39　[Enter]
11：51：54　[S]
11：51：55　[T]
11：51：55　[E]
11：51：56　[G]
11：51：56　[H]
11：51：56　[I]
11：51：56　[D]
11：51：56　[E]
11：51：57　[Space]
11：51：57　[E]
11：51：57　[M]
11：51：57　[B]
11：51：58　[E]
11：51：58　[D]
11：51：58　[Space]
11：51：58　[-]
11：51：58　[C]
11：51：59　[F]
11：52：09　[BackSpace]
11：52：09　[BackSpace]
11：52：09　[BackSpace]
11：52：09　[BackSpace]
11：52：09　[BackSpace]
11：52：10　[BackSpace]
11：52：10　[BackSpace]
11：52：10　[BackSpace]
11：52：10　[BackSpace]
11：52：10　[E]
11：52：12　[X]
11：52：12　[T]
11：52：12　[R]
11：52：12　[A]
11：52：13　[C]
11：52：13　[T]
11：52：13　[Space]
11：52：14　[-]
11：52：14　[S]
11：52：14　[F]
11：52：14　[Space]
11：52：15　[S]
11：52：15　[E]
11：52：16　[C]
11：52：16　[R]
11：52：16　[E]
11：52：16　[T]
11：52：17　[.]
11：52：17　[J]
11：52：17　[P]
11：52：17　[G]
11：52：18　[Enter]
11：52：19　[M]
11：52：19　[A]
11：52：19　[C]
11：52：19　[H]
11：52：19　[I]
11：52：19　[K]
11：52：20　[A]
11：52：20　[N]
11：52：20　[E]
11：52：20　[T]
11：52：20　[A]
11：52：20　[M]
11：52：20　[A]
11：52：20　[C]
11：52：21　[H]
11：52：21　[I]
11：52：21　[K]
11：52：21　[A]
11：52：21　[N]
11：52：21　[E]
11：52：21　[S]
11：52：21　[A]
11：52：22　[I]
11：52：22　[Enter]
11：52：24　[Y]
11：52：26　[C]
11：52：26　[A]
11：52：27　[T]
11：52：27　[Space]
11：52：28　[F]
11：52：28　[L]
11：52：28　[A]
11：52：28　[G]
11：52：28　[.]
11：52：28　[T]
11：52：29　[X]
11：52：29　[T]
11：52：29　[Enter]
********************************************
